country,r111r,r112r,r113r,r114r
Afghanistan, 0, 0, 0, 0
Albania, 0, 0, 0, 0
Algeria, 1, 1, 1, 1
Angola, 0, 0, 0, 0
Argentina, 0, 0, 1, 2
Armenia, 0, 0, 0, 0
Azerbaijan, 0, 0, 0, 0
Bangladesh, 0, 0, 0, 0
Belarus, 3, 3, 3, 3
Benin, 1, 0, 1, 1
Bolivia, 1, 0, 1, 0
Bosnia-Herz, 0, 0, 0, 0
Botswana, 0, 0, 0, 0
Brazil, 0, 0, 1, 0
Bulgaria, 0, 0, 0, 0
Burundi, 0, 0, 0, 0
Cambodia, 3, 2, 3, 3
Cameroon, 0, 0, 0, 0
Chile, 0, 0, 0, 0
Colombia, 0, 0, 0, 0
Congo, 3, 0, 0, 0
Costa Rica, 0, 0, 0, 0
Cote d'Ivoire, 0, 0, 0, 0
Croatia, 0, 0, 0, 0
Czech Rep., 0, 0, 0, 0
Dom. Rep., 0, 0, 0, 0
Ecuador, 0, 0, 0, 0
El Salvador, 1, 1, 2, 1
Eq. Guinea, 0, 0, 0, 0
Estonia, 0, 0, 1, 0
Fiji, 0, 0, 0, 0
France, 0, 0, 0, 0
GDR, 0, 0, 0, 0
Gambia, 0, 0, 0, 0
Georgia, 3, 2, 2, 2
Ghana, 2, 0, 1, 2
Grenada, 0, 0, 0, 0
Guatemala, 3, 2, 2, 3
Guinea, 0, 0, 0, 0
Guyana, 0, 0, 0, 0
Haiti, 0, 0, 0, 0
Honduras, 0, 0, 0, 1
Hungary, 1, 0, 1, 1
Indonesia, 3, 2, 1, 2
Jamaica, 0, 0, 0, 0
Kazakhstan, 0, 0, 0, 0
Kenya, 0, 0, 0, 0
Kyrgyzstan, 0, 0, 0, 0
Latvia, 0, 0, 0, 0
Lesotho, 0, 0, 0, 0
Liberia, 0, 0, 0, 0
Lithuania, 0, 0, 0, 0
Macedonia, 0, 0, 0, 0
Madagascar, 2, 0, 0, 2
Malawi, 0, 0, 0, 0
Malaysia, 0, 0, 0, 0
Mali, 0, 0, 0, 0
Mauritius, 0, 0, 0, 0
Mexico, 0, 0, 0, 0
Moldova, 1, 0, 1, 1
Mongolia, 3, 1, 1, 0
Morocco, 0, 0, 0, 0
Mozambique, 3, 1, 2, 2
Namibia, 2, 1, 2, 2
Nepal, 2, 0, 1, 1
Nicaragua, 2, 2, 2, 2
Niger, 3, 3, 3, 0
Nigeria, 2, 0, 1, 1
P. N. Guinea, 0, 0, 0, 0
Pakistan, 3, 3, 3, 3
Panama, 0, 0, 0, 0
Paraguay, 3, 0, 3, 1
Peru, 3, 1, 3, 3
Philippines, 2, 2, 2, 2
Poland, 0, 0, 0, 0
Romania, 3, 2, 3, 3
Russia, 0, 0, 0, 0
Rwanda, 3, 3, 1, 3
S. Africa, 0, 0, 0, 0
Senegal, 0, 0, 0, 0
Serbia, 0, 0, 0, 0
Montenegro, 0, 0, 0, 0
Sierra Leone, 0, 0, 0, 0
Slovakia, 0, 0, 0, 0
Slovenia, 1, 0, 1, 0
Solomon Is., 0, 0, 0, 0
Spain, 0, 0, 0, 0
Sri Lanka, 0, 0, 0, 0
Suriname, 1, 1, 1, 1
Swaziland, 0, 0, 0, 0
Taiwan, 2, 0, 1, 0
Tajikistan, 0, 0, 2, 1
Tanzania, 0, 0, 0, 0
Tanzania -Zanzibar, 0, 0, 0, 0
Thailand, 0, 0, 0, 0
Timor-Leste, 0, 0, 0, 0
Togo, 0, 0, 0, 0
Trinidad-Tobago, 0, 0, 0, 0
Tunisia, 0, 0, 0, 0
Turkey, 0, 0, 0, 1
USA, 0, 0, 0, 0
Uganda, 0, 0, 0, 0
Ukraine, 0, 0, 0, 0
Uruguay, 0, 1, 2, 1
Uzbekistan, 0, 0, 0, 0
Venezuela, 0, 0, 0, 0
Yemen, 0, 0, 0, 0
Zambia, 3, 1, 2, 1
Zimbabwe, 2, 3, 3, 3
